label,n_days,acc,f1,acc_up,acc_dn,trade_0.55,rate_0.55,acc_0.55,trade_0.6,rate_0.6,acc_0.6,trade_0.65,rate_0.65,acc_0.65
RouteA_text|mean,53,0.3962,0.369,0.6957,0.1667,9,0.1698,0.5556,0,0.0,,0,0.0,
RouteB_combined|mean,53,0.4906,0.4787,0.7391,0.3,41,0.7736,0.439,23,0.434,0.4348,0,0.0,
RouteA_text|max,53,0.4151,0.4015,0.6522,0.2333,53,1.0,0.4151,53,1.0,0.4151,53,1.0,0.4151
RouteB_combined|max,53,0.4906,0.4787,0.7391,0.3,41,0.7736,0.439,23,0.434,0.4348,0,0.0,
RouteA_text|length_wt,53,0.4528,0.398,0.8696,0.1333,14,0.2642,0.5714,0,0.0,,0,0.0,
RouteB_combined|length_wt,53,0.4906,0.4787,0.7391,0.3,41,0.7736,0.439,23,0.434,0.4348,0,0.0,
RouteA_text|attention,53,0.4151,0.3935,0.6957,0.2,17,0.3208,0.5294,4,0.0755,0.75,0,0.0,
RouteB_combined|attention,53,0.4906,0.4787,0.7391,0.3,41,0.7736,0.439,23,0.434,0.4348,0,0.0,
RouteA_text|mcdonald,53,0.4151,0.2933,0.9565,0.0,51,0.9623,0.4314,48,0.9057,0.4167,37,0.6981,0.4324
RouteB_combined|mcdonald,53,0.434,0.3285,0.9565,0.0333,51,0.9623,0.4314,48,0.9057,0.4167,39,0.7358,0.4103
RouteA_TechBlend|mean,53,0.4906,0.4898,0.5217,0.4667,19,0.3585,0.5789,1,0.0189,0.0,0,0.0,
RouteA_TechBlend|max,53,0.4151,0.4015,0.6522,0.2333,53,1.0,0.4151,52,0.9811,0.4231,42,0.7925,0.4286
RouteA_TechBlend|length_wt,53,0.434,0.4338,0.4783,0.4,18,0.3396,0.5556,2,0.0377,0.0,0,0.0,
RouteA_TechBlend|attention,53,0.4528,0.4528,0.5217,0.4,20,0.3774,0.45,3,0.0566,0.3333,0,0.0,
RouteA_TechBlend|mcdonald,53,0.3962,0.3072,0.8696,0.0333,44,0.8302,0.4318,24,0.4528,0.3333,10,0.1887,0.5
