label,n_days,acc,f1,acc_up,acc_dn,n@0.55,rate@0.55,acc@0.55,n@0.6,rate@0.6,acc@0.6,n@0.65,rate@0.65,acc@0.65
NB_v5|mean,53,0.4717,0.456,0.7391,0.2667,42,0.792,0.4524,34,0.642,0.4706,25,0.472,0.44
RF_v5|mean,53,0.4528,0.4233,0.7826,0.2,47,0.887,0.4681,39,0.736,0.4103,31,0.585,0.4194
XGB_v5|mean,53,0.434,0.4239,0.6522,0.2667,44,0.83,0.4545,33,0.623,0.4242,20,0.377,0.35
LGBM_v1|mean,53,0.4528,0.4118,0.8261,0.1667,52,0.981,0.4423,52,0.981,0.4423,49,0.925,0.449
NB_v5|max,53,0.434,0.3505,0.913,0.0667,53,1.0,0.434,53,1.0,0.434,53,1.0,0.434
RF_v5|max,53,0.4528,0.4233,0.7826,0.2,49,0.925,0.449,41,0.774,0.439,34,0.642,0.4118
XGB_v5|max,53,0.434,0.4239,0.6522,0.2667,44,0.83,0.4545,33,0.623,0.4242,20,0.377,0.35
LGBM_v1|max,53,0.4528,0.4118,0.8261,0.1667,52,0.981,0.4423,52,0.981,0.4423,49,0.925,0.449
NB_v5|length_wt,53,0.3962,0.3072,0.8696,0.0333,51,0.962,0.3922,48,0.906,0.375,46,0.868,0.3913
RF_v5|length_wt,53,0.4528,0.4233,0.7826,0.2,47,0.887,0.4681,40,0.755,0.425,31,0.585,0.4194
XGB_v5|length_wt,53,0.434,0.4239,0.6522,0.2667,44,0.83,0.4545,33,0.623,0.4242,20,0.377,0.35
LGBM_v1|length_wt,53,0.4528,0.4118,0.8261,0.1667,52,0.981,0.4423,52,0.981,0.4423,49,0.925,0.449
NB_v5|attention,53,0.4717,0.456,0.7391,0.2667,43,0.811,0.4651,35,0.66,0.4571,28,0.528,0.4643
RF_v5|attention,53,0.4528,0.4233,0.7826,0.2,47,0.887,0.4681,39,0.736,0.4103,31,0.585,0.4194
XGB_v5|attention,53,0.434,0.4239,0.6522,0.2667,44,0.83,0.4545,33,0.623,0.4242,20,0.377,0.35
LGBM_v1|attention,53,0.4528,0.4118,0.8261,0.1667,52,0.981,0.4423,52,0.981,0.4423,49,0.925,0.449
NB_v5|mcdonald,53,0.3774,0.2962,0.8261,0.0333,49,0.925,0.4082,46,0.868,0.413,40,0.755,0.425
RF_v5|mcdonald,53,0.4151,0.318,0.913,0.0333,48,0.906,0.4167,46,0.868,0.4348,41,0.774,0.4146
XGB_v5|mcdonald,53,0.434,0.3285,0.9565,0.0333,53,1.0,0.434,45,0.849,0.4,39,0.736,0.4103
LGBM_v1|mcdonald,53,0.4528,0.398,0.8696,0.1333,52,0.981,0.4615,48,0.906,0.4375,45,0.849,0.4444
ens_all(equal)|mean,53,0.3962,0.3576,0.7391,0.1333,49,0.925,0.4286,44,0.83,0.4545,37,0.698,0.4324
ens_cvf1(cvf1)|mean,53,0.3962,0.3576,0.7391,0.1333,49,0.925,0.4286,43,0.811,0.4651,38,0.717,0.4474
ens_tree(equal)|mean,53,0.434,0.3847,0.8261,0.1333,49,0.925,0.449,45,0.849,0.4444,41,0.774,0.4634
ens_nb_xgb(equal)|mean,53,0.3585,0.3296,0.6522,0.1333,40,0.755,0.45,32,0.604,0.4375,14,0.264,0.5
ens_all(equal)|max,53,0.434,0.3847,0.8261,0.1333,52,0.981,0.4231,45,0.849,0.4,39,0.736,0.4103
ens_cvf1(cvf1)|max,53,0.434,0.3847,0.8261,0.1333,52,0.981,0.4231,44,0.83,0.3864,39,0.736,0.4103
ens_tree(equal)|max,53,0.434,0.3847,0.8261,0.1333,48,0.906,0.4375,45,0.849,0.4444,41,0.774,0.4634
ens_nb_xgb(equal)|max,53,0.434,0.3505,0.913,0.0667,53,1.0,0.434,53,1.0,0.434,53,1.0,0.434
ens_all(equal)|length_wt,53,0.434,0.3847,0.8261,0.1333,50,0.943,0.42,47,0.887,0.4255,39,0.736,0.4359
ens_cvf1(cvf1)|length_wt,53,0.434,0.3847,0.8261,0.1333,50,0.943,0.42,47,0.887,0.4255,38,0.717,0.4474
ens_tree(equal)|length_wt,53,0.434,0.3847,0.8261,0.1333,49,0.925,0.449,45,0.849,0.4444,41,0.774,0.4634
ens_nb_xgb(equal)|length_wt,53,0.3962,0.3072,0.8696,0.0333,50,0.943,0.4,44,0.83,0.3636,34,0.642,0.4412
ens_all(equal)|attention,53,0.3962,0.3576,0.7391,0.1333,49,0.925,0.4286,43,0.811,0.4419,37,0.698,0.4324
ens_cvf1(cvf1)|attention,53,0.3962,0.3576,0.7391,0.1333,49,0.925,0.4286,43,0.811,0.4651,38,0.717,0.4474
ens_tree(equal)|attention,53,0.434,0.3847,0.8261,0.1333,49,0.925,0.449,45,0.849,0.4444,41,0.774,0.4634
ens_nb_xgb(equal)|attention,53,0.3585,0.3296,0.6522,0.1333,40,0.755,0.45,33,0.623,0.4242,18,0.34,0.3889
ens_all(equal)|mcdonald,53,0.4151,0.318,0.913,0.0333,49,0.925,0.4082,47,0.887,0.4255,42,0.792,0.4286
ens_cvf1(cvf1)|mcdonald,53,0.4151,0.318,0.913,0.0333,49,0.925,0.4082,47,0.887,0.4255,43,0.811,0.4186
ens_tree(equal)|mcdonald,53,0.4151,0.318,0.913,0.0333,47,0.887,0.4255,46,0.868,0.4348,43,0.811,0.4186
ens_nb_xgb(equal)|mcdonald,53,0.434,0.3285,0.9565,0.0333,50,0.943,0.4,49,0.925,0.4082,39,0.736,0.3846
