window_requested,window_used,n_total,n_trade,n_skip,n_extreme_consensus,win_rate,accuracy,macro_f1,total_ret,bnh_ret,total_ret_no_extreme,win_rate_no_extreme,max_dd,sharpe,model,threshold
15,15,15,15,0,13,0.6667,0.6667,0.4,0.1494,0.1494,0.0893574297188755,1.0,-0.0331,5.6702,RF,0.5
30,29,29,29,0,26,0.5172,0.5172,0.3409,0.0842,0.0842,0.11504982192922641,1.0,-0.1362,1.7163,RF,0.5
45,29,29,29,0,26,0.5172,0.5172,0.3409,0.0842,0.0842,0.11504982192922641,1.0,-0.1362,1.7163,RF,0.5
60,29,29,29,0,26,0.5172,0.5172,0.3409,0.0842,0.0842,0.11504982192922641,1.0,-0.1362,1.7163,RF,0.5
15,15,15,0,15,13,,,,0.0,0.1494,0.0,,0.0,,RF,0.6
30,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
45,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
60,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.6
15,15,15,0,15,13,,,,0.0,0.1494,0.0,,0.0,,RF,0.65
30,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
45,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
60,29,29,0,29,26,,,,0.0,0.0842,0.0,,0.0,,RF,0.65
15,15,15,15,0,1,0.5333,0.5333,0.3478,-0.0044,0.1494,0.015288784906429598,0.5714285714285714,-0.1216,0.0519,NB,0.5
30,29,29,29,0,1,0.4138,0.4138,0.3347,-0.0966,0.0842,-0.07875646158420335,0.42857142857142855,-0.1758,-1.6354,NB,0.5
45,29,29,29,0,1,0.4138,0.4138,0.3347,-0.0966,0.0842,-0.07875646158420335,0.42857142857142855,-0.1758,-1.6354,NB,0.5
60,29,29,29,0,1,0.4138,0.4138,0.3347,-0.0966,0.0842,-0.07875646158420335,0.42857142857142855,-0.1758,-1.6354,NB,0.5
15,15,15,12,3,1,0.5833,0.5833,0.3684,-0.0352,0.1494,-0.016047288701793505,0.6363636363636364,-0.1216,-1.1008,NB,0.6
30,29,29,23,6,1,0.4783,0.4783,0.3839,0.0275,0.0842,0.047853622627545445,0.5,-0.1216,0.7244,NB,0.6
45,29,29,23,6,1,0.4783,0.4783,0.3839,0.0275,0.0842,0.047853622627545445,0.5,-0.1216,0.7244,NB,0.6
60,29,29,23,6,1,0.4783,0.4783,0.3839,0.0275,0.0842,0.047853622627545445,0.5,-0.1216,0.7244,NB,0.6
15,15,15,10,5,1,0.6,0.6,0.375,-0.0484,0.1494,-0.02954692976501505,0.6666666666666666,-0.1041,-1.6129,NB,0.65
30,29,29,19,10,1,0.4737,0.4737,0.391,-0.0238,0.0842,-0.004473249509537869,0.5,-0.1041,-0.2113,NB,0.65
45,29,29,19,10,1,0.4737,0.4737,0.391,-0.0238,0.0842,-0.004473249509537869,0.5,-0.1041,-0.2113,NB,0.65
60,29,29,19,10,1,0.4737,0.4737,0.391,-0.0238,0.0842,-0.004473249509537869,0.5,-0.1041,-0.2113,NB,0.65
15,15,15,15,0,1,0.6667,0.6667,0.4,0.1494,0.1494,0.13163423393531648,0.6428571428571429,-0.0331,5.6702,XGBoost,0.5
30,29,29,29,0,2,0.5172,0.5172,0.3409,0.0842,0.0842,0.023016402520016133,0.48148148148148145,-0.1362,1.7163,XGBoost,0.5
45,29,29,29,0,2,0.5172,0.5172,0.3409,0.0842,0.0842,0.023016402520016133,0.48148148148148145,-0.1362,1.7163,XGBoost,0.5
60,29,29,29,0,2,0.5172,0.5172,0.3409,0.0842,0.0842,0.023016402520016133,0.48148148148148145,-0.1362,1.7163,XGBoost,0.5
15,15,15,5,10,1,0.6,0.6,0.375,-0.1004,0.1494,-0.11425482409364562,0.5,-0.1389,-3.7735,XGBoost,0.6
30,29,29,9,20,2,0.4444,0.4444,0.3077,-0.088,0.0842,-0.13951671276354527,0.2857142857142857,-0.1575,-1.4597,XGBoost,0.6
45,29,29,9,20,2,0.4444,0.4444,0.3077,-0.088,0.0842,-0.13951671276354527,0.2857142857142857,-0.1575,-1.4597,XGBoost,0.6
60,29,29,9,20,2,0.4444,0.4444,0.3077,-0.088,0.0842,-0.13951671276354527,0.2857142857142857,-0.1575,-1.4597,XGBoost,0.6
15,15,15,1,14,1,1.0,1.0,1.0,-0.1127,0.1494,-0.12635084998943724,,-0.154,-4.3315,XGBoost,0.65
30,29,29,1,28,2,1.0,1.0,1.0,-0.072,0.0842,-0.04474431919771271,,-0.2032,-1.1363,XGBoost,0.65
45,29,29,1,28,2,1.0,1.0,1.0,-0.072,0.0842,-0.04474431919771271,,-0.2032,-1.1363,XGBoost,0.65
60,29,29,1,28,2,1.0,1.0,1.0,-0.072,0.0842,-0.04474431919771271,,-0.2032,-1.1363,XGBoost,0.65
