model,date,confidence,pred,actual_d3,return_pct,n_articles
SVM,2025-02-11,1.0,1,0,-4.5,104
SVM,2025-02-07,0.9985,1,0,-2.22,91
SVM,2025-02-20,0.9427,1,0,-2.31,139
SVM,2024-11-22,0.9261,1,0,-3.85,120
kNN,2025-02-20,0.8404,1,0,-2.31,139
kNN,2024-12-17,0.7707,1,0,-3.72,144
SVM-BERT,2024-11-25,0.746,1,0,-2.43,1
kNN,2024-12-06,0.7429,1,0,-1.88,116
kNN-BERT,2025-02-21,0.7224,1,0,-3.2,1
kNN,2024-10-21,0.7186,1,0,-2.3,192
kNN-BERT,2025-01-22,0.7097,1,0,-2.2,1
SVM,2024-10-21,0.6991,1,0,-2.3,192
kNN,2024-11-22,0.6944,1,0,-3.85,120
kNN,2024-11-11,0.6797,1,0,-4.61,167
SVM-BERT,2024-11-11,0.6649,1,0,-4.61,1
SVM,2024-11-01,0.3297,0,1,3.41,139
SVM,2024-10-09,0.3269,0,1,4.9,143
SVM,2024-10-04,0.2926,0,1,4.4,124
SVM-BERT,2024-10-04,0.267,0,1,4.4,1
SVM-BERT,2024-10-09,0.17,0,1,4.9,1
SVM-BERT,2025-02-03,0.1452,0,1,4.21,1
kNN-BERT,2024-10-04,0.133,0,1,4.4,1
kNN-BERT,2024-10-09,0.1326,0,1,4.9,1
kNN,2025-02-03,0.1172,0,1,4.21,254
SVM,2025-02-03,0.0097,0,1,4.21,254
