model,threshold,total_days,trade_days,trade_rate,eval_days,accuracy,macro_f1,win_rate,cum_return,bh_return,max_drawdown,sharpe,cm
kNN,0.5,67,67,1.0,40,0.575,0.5248,0.575,0.2097,0.0645,-0.1496,2.3184,TN=5 FP=12 FN=5 TP=18
kNN,0.6,67,53,0.791,29,0.6897,0.5953,0.6897,0.486,0.0645,-0.0828,6.4321,TN=3 FP=7 FN=2 TP=17
kNN,0.65,67,37,0.5522,21,0.6667,0.6101,0.6667,0.3067,0.0645,-0.1039,5.8609,TN=3 FP=6 FN=1 TP=11
kNN,0.7,67,30,0.4478,18,0.7222,0.6296,0.7222,0.3939,0.0645,-0.0421,8.9504,TN=2 FP=4 FN=1 TP=11
SVM,0.5,67,67,1.0,40,0.575,0.5726,0.575,0.1489,0.0645,-0.1722,1.7644,TN=10 FP=7 FN=10 TP=13
SVM,0.6,67,48,0.7164,28,0.6071,0.6066,0.6071,0.1981,0.0645,-0.1067,3.1643,TN=8 FP=6 FN=5 TP=9
SVM,0.65,67,35,0.5224,21,0.5714,0.5714,0.5714,0.0242,0.0645,-0.0828,0.7892,TN=6 FP=5 FN=4 TP=6
SVM,0.7,67,25,0.3731,14,0.5714,0.5625,0.5714,0.0166,0.0645,-0.081,0.7948,TN=5 FP=4 FN=2 TP=3
kNN-BERT,0.5,27,24,0.8889,17,0.2941,0.2273,0.2941,-0.263,0.0645,-0.2427,-7.283,TN=0 FP=6 FN=6 TP=5
kNN-BERT,0.6,27,13,0.4815,8,0.5,0.3333,0.5,0.0026,0.0645,-0.049,0.4128,TN=0 FP=2 FN=2 TP=4
kNN-BERT,0.65,27,13,0.4815,8,0.5,0.3333,0.5,0.0026,0.0645,-0.049,0.4128,TN=0 FP=2 FN=2 TP=4
kNN-BERT,0.7,27,13,0.4815,8,0.5,0.3333,0.5,0.0026,0.0645,-0.049,0.4128,TN=0 FP=2 FN=2 TP=4
SVM-BERT,0.5,27,24,0.8889,17,0.4706,0.4396,0.4706,-0.1119,0.0645,-0.1818,-2.3973,TN=2 FP=4 FN=5 TP=6
SVM-BERT,0.6,27,13,0.4815,11,0.3636,0.2667,0.3636,-0.1701,0.0645,-0.1818,-5.9051,TN=0 FP=2 FN=5 TP=4
SVM-BERT,0.65,27,10,0.3704,8,0.375,0.2727,0.375,-0.0924,0.0645,-0.0807,-4.2462,TN=0 FP=2 FN=3 TP=3
SVM-BERT,0.7,27,7,0.2593,7,0.4286,0.3,0.4286,-0.0486,0.0645,-0.049,-2.3307,TN=0 FP=1 FN=3 TP=3
