model,trade_date,confidence,pred,label,return_rate,title
RF_v2,2024-11-11,0.7413911342693635,1,0,-0.032258064516129,日月光投控10月營收創23個月高點
RF_v2,2024-12-16,0.7369624350779919,1,0,-0.0092165898617511,《熱門族群》股王遇4千關翻黑擾亂多頭 7勇士仍穩踞漲停
RF_v2,2024-11-11,0.7364852912369841,1,0,-0.032258064516129,#分享 2024/11/11 📰台股盤前要聞
RF_v2,2024-11-11,0.7342053407680608,1,0,-0.032258064516129,《台北股市》盤中焦點股：神達、晟銘電、勤誠、AES-KY、順達、聯發科
RF_v2,2024-11-11,0.7338727643592782,1,0,-0.032258064516129,《台北股市》10月營收讚 台積、環球晶股漲
RF_v2,2024-11-11,0.7317241799143022,1,0,-0.032258064516129,大盤週一盤整機率高，個股輪動態勢明顯
RF_v2,2024-12-10,0.7301530730151705,1,0,-0.0187793427230046,AI需求暢旺 台積電11月營收2760.58億創史上次高
RF_v2,2024-11-11,0.727094667970373,1,0,-0.032258064516129,10月營收讚 台積、環球晶股漲
RF_v2,2024-11-11,0.7257653895095403,1,0,-0.032258064516129,案量充足 營造族群一路旺到明年
RF_v2,2025-01-14,0.7241418747814947,1,0,-0.0229357798165137,台股開盤反彈上漲！台積電漲10元至1085元
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,10月營收讚 台積、環球晶股漲
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,大盤週一盤整機率高，個股輪動態勢明顯
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,《台北股市》10月營收讚 台積、環球晶股漲
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,外媒示警營收創高隱憂 台積電下殺20元 台股跌近200點
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,利多出盡？台積電下挫20元 台股開低走低跌220點
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,台股早盤挫逾百點 台積電下跌20元
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,台股早盤跌逾180點 跌破23400點
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,#分享 台指期收斂正價差，輝達概念股撐台積電營收
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,《熱門族群》神山遇襲不怕 神達等5檔電腦設備股衝頂插旗
NB_v2,2024-11-11,0.5800893805136453,1,0,-0.032258064516129,華為拿到台積電晶片 美國急跳腳！郭正亮曝真正禍首是它
XGBoost_v2,2024-11-20,0.6258255034844351,1,0,-0.0146341463414634,《台北股市》外資20日賣超前十大 母雞獲利了結 鴻準失血4萬張
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,先進封測2指標股 外資青睞
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,AI撐長線 美股波動加劇免驚
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,操盤心法－川普交易衝擊股市 關注輝達財報、營運展望
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,季線有守，士氣大振 6大利多加持 台股再拚23K
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,美股開低走高，科技股表現相對佳
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,《各報要聞》季線有守，士氣大振 6大利多加持 台股再拚23K
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,《熱門族群》先進封測2指標股 外資青睞
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,《盤前掃瞄-國內消息》台伺服器廠SC24秀新品；中信金明年股利看2元
XGBoost_v2,2024-11-20,0.6258210022882689,1,0,-0.0146341463414634,【統一證券晨訊】回測季線止穩 觀察外資空單變化
Ensemble_v2,2024-12-16,0.6466526809809051,1,0,-0.0092165898617511,《熱門族群》股王遇4千關翻黑擾亂多頭 7勇士仍穩踞漲停
Ensemble_v2,2024-11-11,0.6435623268725335,1,0,-0.032258064516129,日月光投控10月營收創23個月高點
Ensemble_v2,2025-02-26,0.6421011825276393,1,0,-0.0188679245283018,台股擺脫震盪收漲116.83點！五大電子權值股全收紅 台塑4寶卻全面下挫
Ensemble_v2,2025-02-26,0.6419033500205457,1,0,-0.0188679245283018,台積電陷疲軟！鴻海、廣達、台達電走強力撐台股 塑膠、油電族群弱勢下挫
Ensemble_v2,2024-11-11,0.6410519964167343,1,0,-0.032258064516129,《台北股市》10月營收讚 台積、環球晶股漲
Ensemble_v2,2024-11-11,0.6407577007726868,1,0,-0.032258064516129,#分享 2024/11/11 📰台股盤前要聞
Ensemble_v2,2025-02-26,0.6403881170684325,1,0,-0.0188679245283018,尾盤急拉！台股終場勁揚116點 台積電翻紅漲5元
Ensemble_v2,2024-11-11,0.6403358016017423,1,0,-0.032258064516129,大盤週一盤整機率高，個股輪動態勢明顯
Ensemble_v2,2024-11-11,0.6400075289990935,1,0,-0.032258064516129,《台北股市》盤中焦點股：神達、晟銘電、勤誠、AES-KY、順達、聯發科
Ensemble_v2,2025-02-26,0.6396574300397829,1,0,-0.0188679245283018,伺服器代工三雄走弱
